grupedad	codmuer	critred1011
NEONATAL	A692	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A70X	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A750	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A751	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A752	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A753	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A759	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A770	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A771	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A772	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A773	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A778	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A779	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A809	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A820	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A821	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A829	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A830	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A831	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A832	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A833	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A834	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A835	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A851	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A852	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A928	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A929	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A930	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A931	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A932	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A938	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A94X	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A950	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A951	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A959	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A960	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A961	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A962	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A968	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A969	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A980	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A982	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A983	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A984	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A985	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A988	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A99X	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A981	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B010	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B011	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B012	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B018	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B019	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B150	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B159	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B160	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B161	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B162	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B169	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B170	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B171	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	B180	
NEONATAL	B181	
NEONATAL	B182	
NEONATAL	B188	
NEONATAL	B189	
NEONATAL	B190	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
